Institute,Branch,Reason
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Artificial Intelligence and Data Science,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Computer Science and Engineering (Cyber Security),Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Artificial Intelligence,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Mathematics and Computing,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Information Technology,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Cyber Security,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Dharwad,Artificial Intelligence and Computing,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Dharwad,Data Science and Artificial Intelligence,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Dharwad,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Guwahati,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology(IIIT) Kottayam,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
"Indian institute of information technology, Raichur, Karnataka",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering (Cyber Security),Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Guwahati,Electronics Communication and Artificial Intelligence,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering ( Artificial Intelligence & Data Science),Restricted: not given to walking-disabled candidates
"Indian institute of information technology, Raichur, Karnataka",Artificial Intelligence and Data Science,Restricted: not given to walking-disabled candidates
"Indian institute of information technology, Raichur, Karnataka",Mathematics and Computing,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Guwahati,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
Central University of Karnataka,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Restricted: not given to walking-disabled candidates
Central University of Karnataka,Mathematics and Computing,Restricted: not given to walking-disabled candidates
Central University of Karnataka,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
Central University of Karnataka,Electrical Engineering,Restricted: not given to walking-disabled candidates
National Institute of Technology Meghalaya,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
National Institute of Technology Nagaland,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Computer Science and Engineering (Cyber Security),Restricted: not given to walking-disabled candidates
National Institute of Technology Meghalaya,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
National Institute of Technology Nagaland,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
National Institute of Technology Nagaland,Electronics and Instrumentation Engineering,Restricted: not given to walking-disabled candidates
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Computer Science and Engineering,Restricted: not given to walking-disabled candidates
Central University of Haryana,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Artificial Intelligence,Restricted: not given to walking-disabled candidates
National Institute of Technology Meghalaya,Electrical and Electronics Engineering,Restricted: not given to walking-disabled candidates
National Institute of Technology Nagaland,Electrical and Electronics Engineering,Restricted: not given to walking-disabled candidates
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Electrical Engineering,Restricted: not given to walking-disabled candidates
Central University of Haryana,Electrical Engineering,Restricted: not given to walking-disabled candidates
"National Institute of Technology, Rourkela",Life Science,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Bhagalpur,Mathematics and Computing,Restricted: not given to walking-disabled candidates
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,Restricted: not given to walking-disabled candidates
